"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1979	19.8755464342726	168.632654016082	-12.4273479832517	169	123	213	147	189	90	NA	NA	NA	NA	NA	NA
1980	17.3008619862215	176.971494362752	-12.9775143419202	177	129	224	154	198	95	NA	NA	NA	NA	NA	NA
1981	13.1720677612391	184.406929544788	-6.11178286752718	184	162	206	174	194	44	NA	NA	NA	NA	NA	NA
1982	17.4426432313773	172.436738653914	-16.133111453962	172	113	231	144	199	118	NA	NA	NA	NA	NA	NA
1983	13.850594368884	173.985055517727	-5.17504066635645	174	155	192	165	182	37	178	0.0416918676993774	0.0362793198249034	0.0424400470594481	0.00158248749056126	"During 70 % of spawning"
1984	18.3143909454547	169.030855271122	-14.3587385666724	169	116	221	144	193	105	176	0.0164233373293311	0.0143925099883654	0.0163632302402874	0.000488646540418429	"During 70 % of spawning"
1985	20.7997485923764	165.408174949871	-14.9334357754545	165	111	219	140	190	108	178	0.0140849996015888	0.0125622583554664	0.0145950213402159	0.000527709393919193	"During 70 % of spawning"
1986	16.6237133626769	171.286349177075	-13.550434631254	171	122	220	148	194	98	175	0.0181055806916685	0.0164462475576109	0.0182097024363807	0.000537290492198413	"During 70 % of spawning"
1987	13.883219445871	171.904567517127	-11.6058554877317	172	129	213	152	191	84	172	0.0215371653324578	0.0194838726298987	0.0222622545876519	0.000650607594575446	"During 70 % of spawning"
1988	14.4359316018358	174.293724069443	-6.87579284452787	174	149	198	162	185	49	173	0.0360240715235158	0.0334970223137288	0.0385696092540241	0.00132343879199803	"During 70 % of spawning"
1989	21.3589845727466	162.393973851305	-14.9506157423249	162	108	216	136	187	108	174	0.0144349929011693	0.012760035543091	0.0149150812776709	0.000568541119787332	"During 70 % of spawning"
1990	14.2570821321223	175.733790455105	-9.83467298748892	176	140	211	159	192	71	170	0.0233730294239085	0.0224873440213794	0.0241828356069487	0.000428608585901131	"During 70 % of spawning"
1991	21.4164842511197	163.293059388613	-17.8390249390788	163	98	228	132	193	130	171	0.0133809752090859	0.0121333268146952	0.0149289518081595	0.000785097671521533	"During 70 % of spawning"
1992	14.9230153937316	175.259063665673	-11.7944630886318	175	132	217	155	195	85	173	0.021000117425312	0.0186841808809692	0.0222215472532301	0.000922535607841442	"During 70 % of spawning"
1993	17.4541397778327	173.191881554699	-13.8765726327823	173	122	223	149	196	101	170	0.017778000775736	0.0165854748364182	0.0184320715223945	0.000470275596955545	"During 70 % of spawning"
