"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1994	13.6890834390955	176.356749030742	-11.1449879799844	176	136	216	157	195	80	168	0.0195501795856993	0.0184910271347652	0.0202501168561152	0.000456413991139331	"During 70 % of spawning"
1995	13.9844030053164	177.797960668965	-10.1602187041267	178	141	214	160	194	73	NA	NA	NA	NA	NA	NA
1996	17.6677737119076	168.711022713225	-11.0316492691796	169	128	208	150	187	80	173	0.0218234942559888	0.0194058676058689	0.0227741526317809	0.00095851914427383	"During 70 % of spawning"
1997	15.4427083001987	174.867445712927	-8.48672016287967	175	144	205	160	189	61	NA	NA	NA	NA	NA	NA
1998	16.7622751348744	166.326627247027	-10.4045006999391	166	128	203	148	183	75	167	0.0239983189653547	0.0213805823959608	0.0242728362820843	0.000745623694301006	"During 70 % of spawning"
1999	23.6168549831012	145.965359306547	-15.2695653109251	146	90	201	119	171	111	173	0.0081424181083141	0.00724556941202931	0.00921895661230925	0.00054130380082555	"Late survey"
2000	15.2756194169262	170.822813297258	-11.1502538314294	171	130	211	151	189	81	173	0.0222050495043245	0.0199373863365324	0.0226500197755653	0.000764970807818752	"During 70 % of spawning"
2001	12.7738987649721	171.993277721791	-6.83911188331141	172	147	196	160	183	49	166	0.030339317059502	0.0292631307965529	0.0320013804137747	0.000713987936000025	"During 70 % of spawning"
2002	15.3449291707441	172.015679199923	-12.5671919480232	172	126	217	150	193	91	170	0.0197631446742141	0.0184403533099089	0.0200614768005103	0.000496694775227248	"During 70 % of spawning"
2003	16.5776263085602	170.328800101252	-8.97042959884917	170	137	202	155	185	65	171	0.0278232018664527	0.0250460414648651	0.0289542973114748	0.00104276149776454	"During 70 % of spawning"
2004	17.8792267637965	170.359432922744	-12.688412865845	170	124	216	148	191	92	171	0.0196879589830975	0.0170884328349552	0.0203047880334136	0.00085503262147228	"During 70 % of spawning"
2005	18.9790091087984	172.80436554807	-10.6976478846944	173	134	211	154	190	77	170	0.0229687130163875	0.0218119519979996	0.0237547361886876	0.000499367848525926	"During 70 % of spawning"
2006	18.1132314697472	165.407452271761	-10.3549219844308	165	127	202	147	182	75	186	0.0102286495366654	0.00954593006064636	0.0103557387659561	0.000209607018001234	"Late survey"
2007	13.867364134466	177.444470916223	-6.95399084720589	177	152	202	165	189	50	177	0.0358984706853149	0.0326519397758659	0.0372317462006716	0.00123280612395122	"During 70 % of spawning"
2008	12.7921621451069	175.855314669986	-5.91875310997304	176	154	197	166	185	43	177	0.0418219320872038	0.0374326612141855	0.0429665206357807	0.00151048239211693	"During 70 % of spawning"
2009	12.5218371080526	174.009659445101	-7.87855498660104	174	145	202	160	187	57	168	0.0275237309679261	0.0257027629447071	0.0295590242118563	0.00101549879701424	"During 70 % of spawning"
2010	15.04621262342	170.163109247273	-9.20722846049909	170	136	203	154	185	67	166	0.0258053260708099	0.0242562773263921	0.026796068370203	0.000658512991814683	"During 70 % of spawning"
2011	17.4026695124724	167.944004526728	-7.29339637143721	168	141	194	155	180	53	166	0.0336634161381329	0.0308588512774056	0.0361486597607004	0.001461853198479	"During 70 % of spawning"
2012	16.5061399969981	162.011335693906	-8.66752836357199	162	130	193	147	176	63	168	0.0256526384855631	0.0208754219614127	0.0277307680925831	0.00184202183606254	"During 70 % of spawning"
2013	15.2450387111461	168.647494977678	-8.19048922835936	169	139	198	154	182	59	167	0.0302074354317557	0.0273121908374602	0.0313295848496301	0.00108246174011263	"During 70 % of spawning"
2014	16.6797925828113	166.701317098271	-7.84942731735654	167	138	194	153	179	56	166	0.0317753009343349	0.0282171461754252	0.0340926238590898	0.00142110304652006	"During 70 % of spawning"
2015	15.8763994072698	172.176987986547	-7.19765856850316	172	146	198	160	184	52	167	0.0305941285834705	0.0289673724552398	0.0322433327450766	0.000924634082815276	"During 70 % of spawning"
2016	19.9128190494703	163.956415664103	-11.5434984035337	164	122	205	144	183	83	169	0.020652879144217	0.0185867122609523	0.0216714801946919	0.000814927592290033	"During 70 % of spawning"
2017	14.2056800939383	174.118127348224	-4.76600172544535	174	157	191	166	181	34	164	0.0200448853183798	0.0202363241374636	0.0228317010652008	0.000707760986249532	"Early survey"
2018	13.2457060330109	175.016427807113	-5.39683536741616	175	155	194	166	183	39	172	0.0428621349923833	0.0385840936674357	0.046044271578366	0.00192994307916413	"During 70 % of spawning"
2019	15.3024972797172	176.451224466968	-7.11652034003003	176	150	202	164	188	52	162	0.0144161504108894	0.0140321761857037	0.0162962281755919	0.000622604259459641	"Early survey"
2020	16.0014225028031	172.719133789789	-2.41649317089452	173	164	181	169	176	17	NA	NA	NA	NA	NA	NA
2021	13.8615463416039	167.120868991334	-6.14507664111793	167	145	189	156	177	44	169	0.039726132214656	0.0362357325173664	0.0413736789037484	0.00128989720411624	"During 70 % of spawning"
2022	17.6544720124082	161.280109443428	-9.33303616874686	161	127	194	145	176	67	171	0.0206580708755772	0.0141911476481302	0.0253055967199387	0.00309469329984321	"During 70 % of spawning"
2023	17.7772084766134	162.681922605846	-9.25097757662588	163	129	196	147	178	67	172	0.0211799490620318	0.0178233854143563	0.023179546781203	0.00142918791487234	"During 70 % of spawning"
2024	12.061929094787	164.609964173006	-3.85471201289326	165	150	178	158	170	28	174	0.0192256096923076	0.0168176549981178	0.0191313457860783	0.000668854838142382	"Late survey"
