"station"	"stratum"	"stratum_area"	"depth"	"latitude"	"longitude"
1.1	1	2.961e+10	114.428571428571	46.83107675	-60.91886475
1.2	1	2.961e+10	118.853658536585	47.1697093617021	-60.7514304255319
1.3	1	2.961e+10	54.0975609756098	47.4990747826087	-60.7536541304348
1.4	1	2.961e+10	133.025	47.8333973333333	-60.7523853333333
1.5	1	2.961e+10	431.25641025641	48.1668517777778	-60.7542224444444
2.1	1	2.961e+10	58.1395348837209	46.5011985416667	-61.251721875
2.2	1	2.961e+10	62.1162790697674	46.8323953061225	-61.2469548979592
2.3	1	2.961e+10	48.4318181818182	47.1666636734694	-61.2501597959184
2.4	1	2.961e+10	29.4222222222222	47.4992528	-61.2318604
2.5	1	2.961e+10	21.7272727272727	47.828625	-61.2425508
2.6	1	2.961e+10	341.428571428571	48.1657028571429	-61.2512736734694
3.1	1	2.961e+10	33.4651162790698	45.8348680851064	-61.7662585106383
3.2	1	2.961e+10	52.953488372093	46.1689887755102	-61.7494569387755
3.3	1	2.961e+10	47.093023255814	46.4987616326531	-61.7473726530612
3.4	1	2.961e+10	66.9333333333333	46.8340874	-61.7481236
3.5	1	2.961e+10	29.6304347826087	47.1589015686274	-61.7484652941176
3.6	2	2.191e+10	29.7826086956522	47.5839107692308	-61.8287340384615
3.7	2	2.191e+10	53.2727272727273	47.8299536	-61.7482682
3.8	1	2.961e+10	115.311111111111	48.1700906122449	-61.7471893877551
3.9	1	2.961e+10	372.214285714286	48.3280074468085	-61.7505659574468
4.1	1	2.961e+10	33.0975609756098	45.8352081632653	-62.2465326530612
4.2	1	2.961e+10	24.8536585365854	46.1635180851064	-62.2417176595745
4.3	2	2.191e+10	45.4545454545455	46.5708567346939	-62.2510071428571
4.4	2	2.191e+10	66.0217391304348	46.8302267307692	-62.2503453846154
4.5	2	2.191e+10	40.75	47.162910754717	-62.2525632075472
4.6	2	2.191e+10	51.7083333333333	47.4995533962264	-62.2466730188679
4.7	3	1.793e+10	59.1489361702128	47.8317979245283	-62.2454583018868
4.8	2	2.191e+10	81.4782608695652	48.1684413461538	-62.2515294230769
4.9	1	2.961e+10	270.06976744186	48.3683908333333	-62.2473879166667
5.1	2	2.191e+10	29.6190476190476	46.5063776	-62.748987
5.2	2	2.191e+10	56.9545454545455	46.8308980769231	-62.7510140384615
5.3	3	1.793e+10	63.2173913043478	47.1689352941176	-62.7515517647059
5.4	3	1.793e+10	56.1521739130435	47.5003403773585	-62.7496394339623
5.5	3	1.793e+10	67.0652173913043	47.8318975	-62.7471751923077
5.6	2	2.191e+10	83.8260869565217	48.1680680769231	-62.7516961538462
5.7	1	2.961e+10	177.904761904762	48.3957887234043	-62.7490646808511
6.1	2	2.191e+10	27.2954545454545	46.515544	-63.2479498
6.2	2	2.191e+10	51.1333333333333	46.8311492307692	-63.2509226923077
6.3	2	2.191e+10	64.1063829787234	47.1677758490566	-63.2520394339623
6.4	3	1.793e+10	79.1276595744681	47.4982854716981	-63.2495154716981
6.5	3	1.793e+10	81.2340425531915	47.8338180769231	-63.2506113461538
6.6	3	1.793e+10	61.8958333333333	48.166199245283	-63.2517894339623
6.7	2	2.191e+10	102.904761904762	48.4970051020408	-63.2473355102041
6.8	1	2.961e+10	245.923076923077	48.7034984615385	-63.2498246153846
7.1	2	2.191e+10	34.9545454545455	46.8331205882353	-63.7461743137255
7.2	2	2.191e+10	55.5777777777778	47.1655015384615	-63.7518511538462
7.3	3	1.793e+10	69.7234042553192	47.5003213207547	-63.74937
7.4	3	1.793e+10	78.3829787234042	47.8326546153846	-63.7507807692308
7.5	2	2.191e+10	100.0625	48.1673543396226	-63.7481001886792
7.6	2	2.191e+10	145.577777777778	48.4984280392157	-63.7477535294118
7.7	1	2.961e+10	193.511627906977	48.829395	-63.751830625
8.1	1	2.961e+10	23.75	46.8339540425532	-64.3722838297872
8.2	2	2.191e+10	42.2444444444444	47.1665119607843	-64.2492617647059
8.3	3	1.793e+10	59.4565217391304	47.4998155769231	-64.2508492307692
8.4	3	1.793e+10	42.5555555555556	47.832267254902	-64.2504176470588
8.5	3	1.793e+10	45.1739130434783	48.1676811538462	-64.25628
8.6	2	2.191e+10	104.738095238095	48.4982140816327	-64.0810153061225
8.7	1	2.961e+10	81.9268292682927	48.7476429787234	-64.0870538297872
9.1	1	2.961e+10	23.3953488372093	46.8342610204082	-64.6649687755102
9.2	1	2.961e+10	23.5238095238095	47.1690004081633	-64.7451332653061
9.3	2	2.191e+10	23.4545454545455	47.5004978	-64.6623344
9.4	2	2.191e+10	20.5116279069767	47.9360585714286	-64.75554
9.5	3	1.793e+10	92.9512195121951	48.16272375	-64.74841125
10.1	2	2.191e+10	72.7954545454545	47.934203877551	-65.248127755102
11.1	3	1.793e+10	35.5	48.000063125	-65.7507947916667
12.1	3	1.793e+10	26.55	48.050006	-66.1285168888889
