"year"	"1"	"2"
1979	59	NA
1983	63	NA
1984	65	NA
1985	63	NA
1986	58	NA
1987	64	NA
1988	64	65
1989	65	65
1990	65	65
1991	65	NA
1992	65	63
1993	65	NA
1994	65	64
1996	65	62
1998	64	65
1999	52	NA
2000	62	NA
2001	61	NA
2002	63	NA
2003	65	NA
2004	64	NA
2005	61	NA
2006	63	NA
2007	66	NA
2008	53	NA
2009	64	NA
2010	65	NA
2011	66	NA
2012	66	NA
2013	66	NA
2014	64	NA
2015	60	NA
2016	65	NA
2017	65	NA
2018	65	NA
2019	65	NA
2021	61	NA
2022	65	NA
