V1,V2,V3
-70,52,763.929565429688
-69.9329608938548,52,720.409606933594
-69.8659217877095,52,693.28955078125
-69.7988826815643,52,656.969604492188
-69.731843575419,52,648.109558105469
-69.6648044692737,52,668.739562988281
-69.5977653631285,52,632.864990234375
-69.5307262569832,52,636.705017089844
-69.463687150838,52,522.585021972656
-69.3966480446927,52,407.484985351562
-69.3296089385475,52,490.385009765625
-69.2625698324022,52,520.864990234375
-69.195530726257,52,536.284973144531
-69.1284916201117,52,498.095001220703
-69.0614525139665,52,491.339965820312
-68.9944134078212,52,540.989990234375
-68.927374301676,52,582.009948730469
-68.8603351955307,52,567.43994140625
-68.7932960893855,52,601.219970703125
-68.7262569832402,52,553.509948730469
-68.659217877095,52,560.179992675781
-68.5921787709497,52,541.829956054688
-68.5251396648045,52,428.152496337891
-68.4581005586592,52,472.802490234375
-68.391061452514,52,510.012481689453
-68.3240223463687,52,545.362487792969
-68.2569832402235,52,583.262512207031
-68.1899441340782,52,565.58251953125
-68.122905027933,52,581.222473144531
-68.0558659217877,52,579.5625
-67.9888268156425,52,607.3525390625
-67.9217877094972,52,577.432495117188
-67.854748603352,52,530.942504882812
-67.7877094972067,52,508.982513427734
-67.7206703910614,52,518.33251953125
-67.6536312849162,52,543.902526855469
-67.586592178771,52,554.912536621094
-67.5195530726257,52,549.482482910156
-67.4525139664805,52,529.962768554688
-67.3854748603352,52,532.382751464844
-67.3184357541899,52,532.182739257812
-67.2513966480447,52,535.312744140625
-67.1843575418994,52,551.082763671875
-67.1173184357542,52,526.002746582031
-67.0502793296089,52,539.57275390625
-66.9832402234637,52,546.32275390625
-66.9162011173184,52,546.783752441406
-66.8491620111732,52,548.553771972656
-66.7821229050279,52,603.393798828125
-66.7150837988827,52,498.083770751953
-66.6480446927374,52,513.073791503906
-66.5810055865922,52,622.023803710938
-66.5139664804469,52,597.15380859375
-66.4469273743017,52,564.203796386719
-66.3798882681564,52,658.653564453125
-66.3128491620112,52,709.273559570312
-66.2458100558659,52,626.863586425781
-66.1787709497207,52,589.523559570312
-66.1117318435754,52,692.923583984375
-66.0446927374302,52,699.1435546875
-65.9776536312849,52,699.263549804688
-65.9106145251397,52,718.793579101562
-65.8435754189944,52,692.845886230469
-65.7765363128492,52,659.575866699219
-65.7094972067039,52,677.475891113281
-65.6424581005587,52,692.305847167969
-65.5754189944134,52,633.095886230469
-65.5083798882682,52,628.315856933594
-65.4413407821229,52,624.695861816406
-65.3743016759776,52,618.645874023438
-65.3072625698324,52,608.356994628906
-65.2402234636872,52,615.526977539062
-65.1731843575419,52,615.526977539062
-65.1061452513967,52,613.636962890625
-65.0391061452514,52,598.186950683594
-64.9720670391062,52,605.367004394531
-64.9050279329609,52,623.476989746094
-64.8379888268156,52,668.216979980469
-64.7709497206704,52,623.897644042969
-64.7039106145251,52,606.887634277344
-64.6368715083799,52,582.537658691406
-64.5698324022346,52,572.937622070312
-64.5027932960894,52,557.34765625
-64.4357541899441,52,570.677612304688
-64.3687150837989,52,605.677612304688
-64.3016759776536,52,593.987609863281
-64.2346368715084,52,574.391296386719
-64.1675977653631,52,566.271301269531
-64.1005586592179,52,605.921264648438
-64.0335195530726,52,529.121276855469
-63.9664804469274,52,533.971313476562
-63.8994413407821,52,527.871276855469
-63.8324022346369,52,574.281311035156
-63.7653631284916,52,487.081298828125
-63.6983240223464,52,489.634765625
-63.6312849162011,52,502.894744873047
-63.5642458100559,52,522.354736328125
-63.4972067039106,52,536.314758300781
-63.4301675977654,52,581.324768066406
-63.3631284916201,52,541.074768066406
-63.2960893854749,52,534.90478515625
-63.2290502793296,52,550.5947265625
-63.1620111731844,52,537.018859863281
-63.0949720670391,52,539.478881835938
-63.0279329608939,52,542.248901367188
-62.9608938547486,52,544.578857421875
-62.8938547486034,52,543.60888671875
-62.8268156424581,52,566.438842773438
-62.7597765363128,52,564.178894042969
-62.6927374301676,52,575.06884765625
-62.6256983240223,52,552.509582519531
-62.5586592178771,52,551.429626464844
-62.4916201117318,52,560.229614257812
-62.4245810055866,52,522.599609375
-62.3575418994413,52,510.059600830078
-62.2905027932961,52,484.659606933594
-62.2234636871508,52,453.699615478516
-62.1564245810056,52,351.599609375
-62.0893854748603,52,418.703735351562
-62.0223463687151,52,432.403747558594
-61.9553072625698,52,473.283752441406
-61.8882681564246,52,462.113739013672
-61.8212290502793,52,479.293731689453
-61.7541899441341,52,440.043731689453
-61.6871508379888,52,431.07373046875
-61.6201117318436,52,447.463745117188
-61.5530726256983,52,483.152252197266
-61.4860335195531,52,503.482238769531
-61.4189944134078,52,526.042236328125
-61.3519553072626,52,531.002258300781
-61.2849162011173,52,534.822265625
-61.2178770949721,52,509.432250976562
-61.1508379888268,52,495.562255859375
-61.0837988826816,52,476.032257080078
-61.0167597765363,52,482.681915283203
-60.9497206703911,52,492.571929931641
-60.8826815642458,52,470.101928710938
-60.8156424581006,52,430.591918945312
-60.7486033519553,52,437.561920166016
-60.6815642458101,52,404.561920166016
-60.6145251396648,52,396.571929931641
-60.5474860335196,52,375.081909179688
-60.4804469273743,52,383.716400146484
-60.4134078212291,52,396.366424560547
-60.3463687150838,52,397.596405029297
-60.2793296089385,52,364.306396484375
-60.2122905027933,52,353.716400146484
-60.145251396648,52,326.896423339844
-60.0782122905028,52,372.876403808594
-60.0111731843575,52,371.036407470703
-59.9441340782123,52,383.453094482422
-59.877094972067,52,381.963104248047
-59.8100558659218,52,388.023101806641
-59.7430167597765,52,354.243103027344
-59.6759776536313,52,360.693115234375
-59.608938547486,52,383.613098144531
-59.5418994413408,52,401.923095703125
-59.4748603351955,52,424.353118896484
-59.4078212290503,52,402.415710449219
-59.340782122905,52,254.695693969727
-59.2737430167598,52,345.465698242188
-59.2067039106145,52,381.505706787109
-59.1396648044693,52,374.875701904297
-59.072625698324,52,379.355712890625
-59.0055865921788,52,404.035705566406
-58.9385474860335,52,318.535705566406
-58.8715083798883,52,400.057434082031
-58.804469273743,52,321.617431640625
-58.7374301675978,52,328.37744140625
-58.6703910614525,52,309.177429199219
-58.6033519553073,52,350.757415771484
-58.536312849162,52,400.387420654297
-58.4692737430168,52,321.897430419922
-58.4022346368715,52,338.987426757812
-58.3351955307263,52,344.784729003906
-58.268156424581,52,332.724731445312
-58.2011173184358,52,374.554718017578
-58.1340782122905,52,339.774719238281
-58.0670391061453,52,423.314727783203
-58,52,408.804718017578
-70,51.9329608938547,687.319580078125
-69.9329608938548,51.9329608938547,720.769592285156
-69.8659217877095,51.9329608938547,554.099609375
-69.7988826815643,51.9329608938547,580.799560546875
-69.731843575419,51.9329608938547,593.499572753906
-69.6648044692737,51.9329608938547,592.53955078125
-69.5977653631285,51.9329608938547,586.195007324219
-69.5307262569832,51.9329608938547,606.844970703125
-69.463687150838,51.9329608938547,508.514984130859
-69.3966480446927,51.9329608938547,410.484985351562
-69.3296089385475,51.9329608938547,454.924987792969
-69.2625698324022,51.9329608938547,481.214996337891
-69.195530726257,51.9329608938547,508.464996337891
-69.1284916201117,51.9329608938547,461.475006103516
-69.0614525139665,51.9329608938547,524.529968261719
-68.9944134078212,51.9329608938547,574.789978027344
-68.927374301676,51.9329608938547,658.369995117188
-68.8603351955307,51.9329608938547,597.129943847656
-68.7932960893855,51.9329608938547,645.519958496094
-68.7262569832402,51.9329608938547,601.159973144531
-68.659217877095,51.9329608938547,546.179992675781
-68.5921787709497,51.9329608938547,529.599975585938
-68.5251396648045,51.9329608938547,463.012481689453
-68.4581005586592,51.9329608938547,440.262481689453
-68.391061452514,51.9329608938547,487.132507324219
-68.3240223463687,51.9329608938547,535.3125
-68.2569832402235,51.9329608938547,559.922485351562
-68.1899441340782,51.9329608938547,563.472473144531
-68.122905027933,51.9329608938547,661.572509765625
-68.0558659217877,51.9329608938547,607.3125
-67.9888268156425,51.9329608938547,517.482482910156
-67.9217877094972,51.9329608938547,565.982482910156
-67.854748603352,51.9329608938547,566.872497558594
-67.7877094972067,51.9329608938547,505.772521972656
-67.7206703910614,51.9329608938547,505.072509765625
-67.6536312849162,51.9329608938547,516.942504882812
-67.586592178771,51.9329608938547,547.032531738281
-67.5195530726257,51.9329608938547,530.772521972656
-67.4525139664805,51.9329608938547,540.772766113281
-67.3854748603352,51.9329608938547,534.452758789062
-67.3184357541899,51.9329608938547,535.722717285156
-67.2513966480447,51.9329608938547,530.672729492188
-67.1843575418994,51.9329608938547,528.542724609375
-67.1173184357542,51.9329608938547,532.722717285156
-67.0502793296089,51.9329608938547,516.812744140625
-66.9832402234637,51.9329608938547,567.682739257812
-66.9162011173184,51.9329608938547,545.013793945312
-66.8491620111732,51.9329608938547,580.203796386719
-66.7821229050279,51.9329608938547,585.033752441406
-66.7150837988827,51.9329608938547,583.173767089844
-66.6480446927374,51.9329608938547,518.283752441406
-66.5810055865922,51.9329608938547,465.623779296875
-66.5139664804469,51.9329608938547,556.393798828125
-66.4469273743017,51.9329608938547,570.533752441406
-66.3798882681564,51.9329608938547,647.493591308594
-66.3128491620112,51.9329608938547,666.733581542969
-66.2458100558659,51.9329608938547,633.1435546875
-66.1787709497207,51.9329608938547,596.073547363281
-66.1117318435754,51.9329608938547,698.223571777344
-66.0446927374302,51.9329608938547,653.853576660156
-65.9776536312849,51.9329608938547,655.903564453125
-65.9106145251397,51.9329608938547,769.283569335938
-65.8435754189944,51.9329608938547,732.265869140625
-65.7765363128492,51.9329608938547,630.335876464844
-65.7094972067039,51.9329608938547,621.685852050781
-65.6424581005587,51.9329608938547,600.555847167969
-65.5754189944134,51.9329608938547,594.865844726562
-65.5083798882682,51.9329608938547,626.325866699219
-65.4413407821229,51.9329608938547,668.615844726562
-65.3743016759776,51.9329608938547,649.425842285156
-65.3072625698324,51.9329608938547,636.526977539062
-65.2402234636872,51.9329608938547,608.386962890625
-65.1731843575419,51.9329608938547,604.156982421875
-65.1061452513967,51.9329608938547,599.566955566406
-65.0391061452514,51.9329608938547,599.136962890625
-64.9720670391062,51.9329608938547,602.177001953125
-64.9050279329609,51.9329608938547,634.9169921875
-64.8379888268156,51.9329608938547,635.446960449219
-64.7709497206704,51.9329608938547,614.547607421875
-64.7039106145251,51.9329608938547,606.927612304688
-64.6368715083799,51.9329608938547,579.197631835938
-64.5698324022346,51.9329608938547,586.337646484375
-64.5027932960894,51.9329608938547,565.997619628906
-64.4357541899441,51.9329608938547,560.857666015625
-64.3687150837989,51.9329608938547,584.157653808594
-64.3016759776536,51.9329608938547,591.107666015625
-64.2346368715084,51.9329608938547,580.0712890625
-64.1675977653631,51.9329608938547,567.831298828125
-64.1005586592179,51.9329608938547,587.521301269531
-64.0335195530726,51.9329608938547,551.401306152344
-63.9664804469274,51.9329608938547,538.261291503906
-63.8994413407821,51.9329608938547,527.741271972656
-63.8324022346369,51.9329608938547,479.351287841797
-63.7653631284916,51.9329608938547,502.0712890625
-63.6983240223464,51.9329608938547,557.61474609375
-63.6312849162011,51.9329608938547,512.324768066406
-63.5642458100559,51.9329608938547,541.964782714844
-63.4972067039106,51.9329608938547,531.874755859375
-63.4301675977654,51.9329608938547,585.814758300781
-63.3631284916201,51.9329608938547,553.36474609375
-63.2960893854749,51.9329608938547,569.034729003906
-63.2290502793296,51.9329608938547,560.524780273438
-63.1620111731844,51.9329608938547,565.0888671875
-63.0949720670391,51.9329608938547,560.178894042969
-63.0279329608939,51.9329608938547,563.008850097656
-62.9608938547486,51.9329608938547,572.958862304688
-62.8938547486034,51.9329608938547,556.35888671875
-62.8268156424581,51.9329608938547,579.348876953125
-62.7597765363128,51.9329608938547,612.508850097656
-62.6927374301676,51.9329608938547,561.148864746094
-62.6256983240223,51.9329608938547,521.459594726562
-62.5586592178771,51.9329608938547,554.279602050781
-62.4916201117318,51.9329608938547,555.159606933594
-62.4245810055866,51.9329608938547,540.919616699219
-62.3575418994413,51.9329608938547,531.129577636719
-62.2905027932961,51.9329608938547,515.529602050781
-62.2234636871508,51.9329608938547,465.749603271484
-62.1564245810056,51.9329608938547,408.229614257812
-62.0893854748603,51.9329608938547,335.493743896484
-62.0223463687151,51.9329608938547,357.393737792969
-61.9553072625698,51.9329608938547,419.253753662109
-61.8882681564246,51.9329608938547,457.463745117188
-61.8212290502793,51.9329608938547,461.82373046875
-61.7541899441341,51.9329608938547,470.223754882812
