"year","DEP.p","prob_at_med","TEP"
1979,119.443675866428,NA,NA
1983,64.2188583793656,0.0416933743098925,106971426234233
1984,85.003031832332,0.0164370526385699,359155664373968
1985,137.96184969148,0.0139739995873389,685662712467412
1986,256.322677204412,0.0181575935423502,980394780306458
1987,165.719263188922,0.0215558469976496,533924871044295
1988,234.930629031392,0.0360255544600034,452898850018939
1989,111.911661215487,0.0142667311530946,544782458435104
1990,119.182207494292,0.0233617077238097,354306474866246
1991,209.638707815584,0.0132676747028774,1097359453245775
1992,176.497630167687,0.0210813747550616,581449765850911
1993,175.498664424087,0.0178134154437488,684224891219839
1994,88.5797492886361,0.0195094150695251,315327936084838
1996,29.5949437700366,0.0217032823656998,94703133387665.6
1998,25.6282747076236,0.0239049533978119,74456688905629.9
1999,28.9693831271766,0.00775609597259542,259399015341112
2000,35.6311295553513,0.0222466094119042,111234116705218
2001,9.99906829496359,0.0303268894875006,22898335596581.3
2002,75.5364959512928,0.0198163748224804,264731046460931
2003,98.4550037780274,0.0277549164471907,246359956636659
2004,76.3435888903688,0.0196482156351361,269849555139992
2005,39.5669084557191,0.0229345352196818,119815891882191
2006,6.75937881296161,0.010209226228624,45981825463324.6
2007,44.8805848683235,0.0358776380382223,86877419739404.7
2008,53.3544341445264,0.0418169392594969,88611589393066.8
2009,27.0057239265706,0.0274766629571171,68259654734183
2010,9.52242462796065,0.0258107031684523,25622408893539.8
2011,14.2366941510099,0.0334865284622033,29526453000454.9
2012,3.80163396042801,0.0251285540112411,10506910920286.8
2013,16.5897510230317,0.0301892944117625,38164462966071.9
2014,21.6133831501764,0.0317643962385028,47255721421843.7
2015,20.0558783952472,0.0305673317667222,45567626418289.7
2016,14.5141632481998,0.0204335203396071,49331129479124.2
2017,21.8692839444253,0.020052315879564,75742960517005.4
2018,28.2137417513567,0.0428419029194804,45736632388024.9
2019,20.7723996654326,0.0144276042378371,99991872037970.9
2021,9.2645113714707,0.0397317587930414,16194106032409.7
2022,10.9941621886493,0.0194345232703932,39288052162560.1
2023,23.1358698916414,0.020585502464141,78054260116965.5
2024,4.18176862252187,0.0191949905990356,15130188750847.1
2025,14.2444666272076,0.0186510929134495,53041299609107.1
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1995,NA,NA,NA
1997,NA,NA,NA
2020,NA,NA,NA
